band,inception,musician
Parachute Express,1984,Hearts & Flowers
REDi,2012,Robby Blackwell
Peppermint Trolley Company,1966,Danny Faragher
Pelt,1993,Jack Rose
RNDM,2012,Jeff Ament
Raining Pleasure,1990,Vassilikos
St. Johnny,1989,Bill Whitten
RUST,2001,Mikko Herranen
Sector 27,1979,Tom Robinson
Ray & Anita,2009,Ray Slijngaard
Souls of We,2007,London LeGrand
Say Zuzu,1992,Jon Nolan
Mortal,1992,Jerome Fontamillas
Span,2002,Jarle Bernhoft
Raw Silk,1979,Jessica Cleaves
Splendid,1999,Jesse Tobias
Seona Dancing,1982,Ricky Gervais
Soul for Real,1992,Jase4Real
Spy vs Spy,1981,Craig Bloxom
Mistrust,1984,Chris Gohde
Moebius & Plank,1979,Dieter Moebius
Radnička Kontrola,1979,Srđan Todorović
Mike & Brenda Sutton,1981,Mike Sutton
Spys4Darwin,2001,Chris DeGarmo
Span,2002,Fridtjof Nilsen
Payolas,1978,Paul Hyde
Southern Isolation,1995,Stephanie Opal Weinstein
Seeker Lover Keeper,2010,Sarah Blasko
Quasi,1993,Joanna Bolme
Renegade,1985,Luis Cardenas
Motherhead Bug,1989,Railroad Jerk
Pasărea Colibri,1992,Mircea Baniciu
Relative Silence,1998,Pablo García
Sebastopol,2010,Nick Powell
Mike & Brenda Sutton,1981,Brenda Sutton
Speedway,2001,Jill Jackson
Missing Foundation,1984,Peter Missing
Pagan Babies,1985,Courtney Love
Motormark,2001,Mark Law
Redd Kross,1980,Jeff McDonald
Rachel Rachel,1990,Jennifer York
Redgum,1975,Michael Atkinson
Montreux,1985,Mike Marshall
Palomino Road,1992,J. T. Corenflos
Peace of Mind,2003,KJ-52
Rani Mraz,1978,Bilja Krstić
PFFR,2002,John Lee
Secret Society,2005,Necro
Spotlight Kid,2006,Chris Davis
Ratchell,1971,Larry Byrom
Paper Faces,2001,Adam Blake
Par Avion,2004,Tanya Haden
Secret Society,2005,Supercoven
Rembetika Hipsters,1996,Brigitte Dajczer
Rani Mraz,1978,Đorđe Balašević
Savages,2011,Jehnny Beth
Palace of Buddies,2006,Tim Myers
The Deadly Snakes,1996,Andre Ethier
Staggered Crossing,1997,Julian Taylor
Parade,2009,Emily Biggs
Ox,2003,Mark Browning
Miu-clips,2006,Yoshifumi Ato
Rani Mraz,1978,Bora Đorđević
Spirit of the West,1983,John Mann
Raven & Kreyn,2013,Tom Mokrane
Raybeats,1979,Jody Harris
Painted Willie,1984,Dave Markey
Secret Society,2005,Sabac Red
Sound Barrier,1980,Vic Johnson
Stampede,1981,Frank Noon
Seduction,1989,Idalis DeLeón
Pagan Babies,1985,Kat Bjelland
Seam,1991,Sooyoung Park
Red Rider,1979,Ken Greer
Silüetler,1958,Neco
Silüetler,1958,Mesut Aytunca
Pimpbot,2001,Fernando Pacheco
Sunscreem,1991,Lucia Holm
Mårran,2010,Göran Edman
Silüetler,1958,Aziz Azmet
New Grass Revival,1971,Sam Bush
Phallucy,1987,Abe Cunningham
Silüetler,1958,Aydın Daruga
Nat & Alex Wolff,2001,Nat Wolff
My Head,1993,Adam Siegel
repeater,2005,Steve Krolikowski
Suspekt,1997,Orgi-E
Suicide City,2005,Jennifer Arroyo
Strays Don't Sleep,2005,Matthew Ryan
Sunscreem,1991,Paul Carnell
Möngöl Hörde,2012,Frank Turner
Steel Mill,1969,Bruce Springsteen
"Phantom, Rocker & Slick",1983,Slim Jim Phantom
Silüetler,1958,Murat Ses
Summer Camp,2009,Elizabeth Sankey
Silüetler,1958,Rasim Ulusman
Richie Ray & Bobby Cruz,1964,Richie Ray
Strange Cruise,1985,Steve Strange
Shaye,2003,Kim Stockwood
Rikki & Daz,2002,Daz Sampson
Negativa,1994,Roxanne Constantin
Surrender to the Air,1996,Trey Anastasio
Strung-Out Troubadours,2006,Rik Emmett
Shout Out Out Out Out,2005,Nik Kozub
Shimmerplanet,2005,Soren Anders
Switch,1974,Bobby DeBarge
Phantasm,1986,Hirax
Myron Butler & Levi,2002,Myron Butler
Six,2002,Sinéad Sheppard
Narrows,2008,Dave Verellen
Mystery Skulls,2011,Luis Dubuc
Reverend Zen,2006,Jack Evans
Pin Me Down,2008,Bloc Party
Retribution Gospel Choir,2007,Alan Sparhawk
Suffrajett,2003,Simi Sernaker
Negativa,1994,Luc Lemay
Rhythm & Noise,1976,Naut Humon
Nalle,2004,Hanna Tuulikki
Negativa,1994,Steeve Hurdle
Shadowy Men on a Shadowy Planet,1984,Don Pyle
Phantom,2011,Kiggen
Negativa,1994,Steve Macdonald
Plainsong,1972,Iain Matthews
Much the Same,1999,Gunner McGrath
Street Fighting Man,2007,Eric Turner
Nemesis,2001,Joshua Miller
Sureshot,2007,Color Me Badd
Shrug,1994,Gary Lightbody
Sissy Bar,1994,Lisa Papineau
Naevus,1998,John Murphy
Stringband,1971,Ben Mink
Pledge Karma,2011,Tanim Sufyani
Pink Mountaintops,2003,Black Mountain
Sheila (and) B. Devotion,1977,Sheila
National Velvet,1986,Maria del Mar
Place of Skulls,2000,Scott Weinrich
Mukala,1997,Dan Muckala
Sevendys,2010,Jed Davis
Nemesis,2001,Jacob Miller
Native Korean Rock,2008,Karen Lee Orzolek
Neon Horse,2007,Mark Salomon
Shovels & Rope,2008,Michael Trent
Stick Men,2007,Tony Levin
Sumo Cyco,2011,Skye Sweetnam
Revolver,1990,Mat Flint
Mutant Press,1990,Jerome T. Youngman
Sunny Day Sets Fire,2003,Mauro Remiddi
Stringband,1971,Marie-Lynn Hammond
Sisters of Glory,1994,Thelma Houston
Stiff Dylans,2008,James Flannigan
Pitsj,1999,Tora Augestad
PlatEAU,1996,cEvin Key
Stray Dog,1973,W. G. Snuffy Walden
Size 14,1995,Kevin Danczak
Rhysently Granted,1996,Rhys Darby
Shotgun & Jaybird,2003,Frederick Squire
Sucré,2011,Eisley
Sister Machine Gun,1990,Chris Randall
Sultans,2000,John Reis
Rise to Addiction,2004,Joel Graham
Suburban Legends,1998,Tim Maurer
Rheostatics,1978,Dave Bidini
Stringband,1971,Bob Bossin
Suit of Lights,2004,Joe Darone
Step Forward,1989,Dennis Lyxzén
Shaa'ir and Func,2007,Monica Dogra
Subhumans,1978,Gerry Hannah
Reverie Sound Revue,2002,Lisa Lobsinger
Shockabilly,1982,Eugene Chadbourne
Surface,1983,Bernard Jackson
Simply Saucer,1973,Edgar Breau
Startisan,2003,Brian Ireland
Straitjacket Fits,1986,Shayne Carter
Subject to Change,1991,Cree Summer
Republic of Safety,2005,Maggie MacDonald
Shack,1986,Justin Smith
Plaster,2001,Jean-Philippe Goncalves
NLT,2003,Travis Michael Garland
Sweet Comfort Band,1974,Bryan Duncan
Pink Military,1978,Jayne Casey
Mutual Admiration Society,2000,Glen Phillips
Phono-Comb,1993,Don Pyle
Mythology,1967,Bill Ward
Poisonous Poets,2002,Reveal
Pimentola,1996,Lempo
Super Junior Donghae & Eunhyuk,2011,Lee Dong-hae
Rezonance Q,2001,Mike Di Scala
Sublime with Rome,2009,Rome Ramirez
Mouse Fire,2006,Anberlin
Mythology,1967,Tony Iommi
Rime Organisé,2000,Manu Militari
Stonefunkers,1984,Papa Dee
Shillelagh Sisters,1983,Jacquie O'Sullivan
Super Junior Donghae & Eunhyuk,2011,Eunhyuk
Summer Camp,2009,Jeremy Warmsley
Mountain Brothers,1994,CHOPS
Nat & Alex Wolff,2001,Alex Wolff
Rosso,2001,Toshiyuki Terui
The Blue Moon Boys,1954,Elvis Presley
Small Brown Bike,1996,Mike Reed
The Black Sorrows,1983,Lucky Oceans
The Black Ghosts,2006,Theo Keating
The Apartments,2008,Peter Milton Walsh
Soul SirkUS,2003,Jeff Scott Soto
The Belltower,1990,Jody Porter
The Grand,2006,Amund Maarud
The Band from Rockall,2012,Calum MacDonald
Tait,2001,Michael Tait
Tarkio,1996,Colin Meloy
The Barr Brothers,2006,Brad Barr
Rosita,1999,Kenickie
Jimmy James and the Blue Flames,1966,Jimi Hendrix
The Attic,2003,Eric Amarillo
The Birthday Suit,2011,Rod Jones
Rough Trade,1974,Carole Pope
The Armoury Show,1983,Richard Jobson
The Gypsies,2000,Shaka Loveless
The Ghost of a Saber Tooth Tiger,2008,Sean Lennon
TINGeLING,1997,Eldbjørg Raknes
The Blue Moon Boys,1954,D. J. Fontana
Rx,1998,Nivek Ogre
Slow,1985,Thomas Anselmi
The Blackout All-Stars,1994,Ray Barretto
Rusty & Doug,1955,Doug Kershaw
The Babies,2009,Cassie Ramone
The Gentlemen,2000,Duff McKagan
The Fugitives,2004,Brendan McLeod
TKA,1984,K7
Smokey & Miho,2001,Miho Hatori
Team Unicorn,2010,Michele Boyd
Smokey & Miho,2001,Joey Waronker
The Bears,1985,Adrian Belew
The Gypsy Queens,2000,Didier Casnati
Sol Invicto,2006,Richie Londres
Robin and Linda Williams,1971,Linda Williams
The Anon,1965,Anthony Phillips
Robin and Linda Williams,1971,Robin Williams
Rojo,1999,Emmanuel Espinosa
Tav Falco's Panther Burns,1979,Tav Falco
Ruff Sqwad,2001,Tinchy Stryder
The Blimp,1998,William Rogue
Soul Position,2002,Blueprint
Sylencer,2006,Markus Johansson
Rojo,2017,Emmanuel Espinosa
Tartar Lamb,2006,Toby Driver
SETI,1993,Savvas Ysatis
Royal City,1999,Aaron Riches
Smokey & Miho,2001,Smokey Hormel
Royal Southern Brotherhood,2011,Cyril Neville
The Adults,2010,Jon Toogood
Task Force,1999,Chester P
S-K-O,1986,Craig Bickhardt
The Black Pacific,2010,Jim Lindberg
Small Town Pistols,2012,Amanda Wilkinson
Roger Clyne and the Peacemakers,1998,Roger Clyne
The Golden Filter,2008,Penelope Trappes
Sorry and the Sinatras,2007,Scott Sorry
The Book of Knots,2003,Tony Maimone
Roper,2004,Reese Roper
The Black Sheep Band,2011,Jake Burns
S5,2004,Benny Dayal
The Adult Net,1985,Brix Smith
Tattle Tale,1992,Jen Wood
Smith & Pyle,2007,Shawnee Smith
The Boat People,2000,Chris Pickering
The Greencards,2003,Eamon McLoughlin
snd,1998,Mark Fell
The Gypsies,1969,Sunil Perera
Skin Chamber,1991,Chris Moriarty
Road,1970,Noel Redding
Sällskapet,2003,Joakim Thåström
Sonic Elements,2011,Dave Kerzner
Techno Twins,1977,Steve Fairnie
The Guthries,1998,Dale Murray
The Guthries,1998,Ruth Minnikin
The Bloomfields,2006,Maurice Gibb
Rock Plaza Central,1996,Chris Eaton
Rootdown,2007,Paul Wright
Rodriguez,1992,M. Ward
The Bens,2003,Ben Folds
Søyr,1976,Elin Rosseland
Rubber Soul Project,1995,Rastko Ćirić
TGT,2007,Tyrese Gibson
TV Mania,1995,Nick Rhodes
The Guthries,1998,Matt Mays
Rosso,2001,Q16264304
The Attractions,1977,Steve Nieve
Rose Hill Drive,2003,Daniel Sproul
Rodney & the Tube Tops,1996,Rodney Bingenheimer
Dead Fish (band),1991,Rodrigo Lima
TV Mania,1995,Warren Cuccurullo
The Aristocrats,2011,Marco Minnemann
The Aristocrats,2011,Guthrie Govan
The Big Three,1961,Adrian Barber
The Aristocrats,2011,Bryan Beller
THC,1992,George Sarah
Ruby,1994,Lesley Rankine
Skin Chamber,1991,Paul Lemos
The Artaud Beats,2009,John Greaves
The Heathens,2005,Matt Butcher
snd,1998,Mat Steel
The GrooveGrass Boyz,1987,Bootsy Collins
The Artist Life,2005,Ian Blackwood
The Bo-Keys,1998,Scott Bomar
Skyhooks,1973,Greg Macainsh
TAT,2003,Tatiana DeMaria
The Barmitzvah Brothers,2000,Jenny Omnichord
Smoke & Jackal,2012,Kings of Leon
Small Sins,2000,Thomas D'Arcy
Roseland,2003,Azam Ali
Rodan,1992,Jeff Mueller
Rosso,2001,Yusuke Chiba
Skatt Brothers,1979,Sean Delaney
The Genuine Fakes,2005,Johan Bergqvist
TEMP3ST,2012,Gabrielle Wortman
Soul Brothers Six,1965,John Ellison
Soiled Doves,2000,Johnny Whitney
The Heartbroken,2009,Damhnait Doyle
The Fruit Tree Foundation,2010,Rod Jones
Rubber Souldiers,2004,David Gans
Thanatopsis,2001,Buckethead
The Johnnys,1982,Roddy Radalj
The Screaming Tribesmen,1981,Mick Medew
The Lowest of the Low,1991,Ron Hawkins
The Loud Family,1991,Scott Miller
The Roulettes,1962,Russ Ballard
The Revolving Paint Dream,1983,Andrew Innes
The Hotrats,2009,Gaz Coombes
The Seahorses,1996,John Squire
The Brothers Martin,2006,Joy Electric
The Hrsmn,1996,Canibus
The Hillmen,1962,Don Parmley
The Revellions,2006,Ali Moore
Th' Corn Gangg,2004,Jamie Thompson
The Inbreds,1992,Mike O'Neill
The Canadian Sweethearts,1958,Lucille Starr
The Hillmen,1962,Vern Gosdin
The Jennifers,1991,Gaz Coombes
The Wrays,1983,Collin Raye
Temperance,1990,H.A. Der-Hovagimian
Thee Undatakerz,2003,Kool Keith
Vicious Delite,1995,Stephen Pearcy
The Jubalaires,1936,Caleb Ginyard
The Bruce Lee Band,1996,Mike Park
Terra Diablo,2000,Paul Wilson
The Rationals,1964,Scott Morgan
Tender Trap,2001,Amelia Fletcher
The Hillmen,1962,Chris Hillman
The Carnations,1995,Thomas D'Arcy
The High Society,2006,King Adora
The Simms Brothers Band,1975,Frank Simms
Third Power,1969,Jem Targal
The Cake,1966,Eleanor Barooshian
The Lovely Sparrows,2005,Shawn Jones
The Bronx Casket Co.,1998,Jack Frost
VoKee,2004,Ontronik Khachaturian
Violinski,1977,Mik Kaminski
The September When,1987,Morten Abel
The Id,1977,Andy McCluskey
Terror Syndrome,2006,Ryan Van Poederooyen
The Julie Ruin,2010,Kathleen Hanna
The Hillmen,1962,Rex Gosdin
The Listening Pool,1989,Paul Humphreys
The Regime,1997,Yukmouth
The Love Kills Theory,2006,Cevin Soling
The Long Winters,2001,John Roderick
The Jimi Homeless Experience,2007,Chad Stewart
Terrible Things,2009,Fred Mascherino
The Charioteers,1930,Billy Williams
The Cake,1966,Jeanette Jacobs
The Cake,1966,Barbara Morillo
Oh Sees,1997,John Dwyer
The Seldom Scene,1971,Ben Eldridge
Ten Ways,2001,Dave Young
The Woolies,1964,Bob Baldori
The Killjoys,1977,Kevin Rowland
"Tex, Don and Charlie",1992,Tex Perkins
The Jones Gang,2001,Kenney Jones
Vodka Collins,1971,Hiroshi Oguchi
The Young Aborigines,1978,Mike D
The Rockets,1972,"Johnny ""Bee"" Badanjek"
Virgos Merlot,1998,Brett Hestla
The Brothers Creeggan,1992,Andy Creeggan
The Work,1980,Tim Hodgkinson
The Semantics,1990,Owsley
The Relationship,2007,Brian Bell
The Jaggerz,1964,Jimmie Ross
The Jealous Girlfriends,2003,Holly Miranda
This Is Ivy League,2005,Ryland Blackinton
Vida Blue,2001,Page McConnell
The Limeliters,1959,Alex Hassilev
Vomitron,2002,Peter Rutcho
The Horribly Awfuls,2002,Gareth Williams
The High Violets,1998,Kaitlyn ni Donovan
The Rocking Horse Winner,2001,Jolie Lindholm
The Herd,2001,Kenny Sabir
The Refreshments,1992,Roger Clyne
The Rock and Roll Trio,1951,Johnny Burnette
The Higsons,1980,Charlie Higson
The Knobz,1979,Tim Powles
The Kyle Gass Band,2011,Mike Bray
The Killer and the Star,2006,Scooter Ward
The League of Gentlemen,1980,Robert Fripp
Teenage Filmstars,1979,Ed Ball
The Charioteers,1930,Jimmy Sherman
The Rebels,1957,Gene Summers
The Long Lost,1998,Daedelus
"Volcano, I'm Still Excited!!",2002,Mark Duplass
Teenager,2004,Ladyhawke
The Jetset,1979,Melvyn J Taub
The Lodge,1987,Peter Blegvad
The Love Unlimited Orchestra,1973,David T. Walker
The Lucky Strikes,1989,Craig Marshall
Volcano,2003,Curt Kirkwood
The Little Deaths,1997,Aaron Detroit
The Reputation,2001,Elizabeth Elmore
Viva Death,2002,Scott Shiflett
The Rats,1980,Fred Cole
The Refreshments,1989,Billy Bremner
The Bottletop Band,2008,Eliza Doolittle
The Listening,2004,Gabriel Wilson
Tersivel,2004,Lian Gerbino
Terrorust,2006,"Matt ""Skitz"" Sanders"
The Revols,1957,Richard Manuel
The Screamers,1975,Tomata du Plenty
Veslefrekk,1989,Ståle Storløkken
The John Denver Band,1969,John Denver
The A.M.,2002,Michael Tighe
The Jamaicans,1967,Tommy Cowan
The Candles,2008,Josh Lattanzi
The Ladybug Transistor,1995,Gary Olson
The Burning Hell,2007,Darren Browne
The Burning Hell,2007,Mathias Kom
The Burning Hell,2007,Ariel Sharratt
Viva Hate,2004,Geoff Kresge
The Lejrbåls,1986,Maria Bramsen
The Kramdens,1990,Craig Norris
The Shuffle Demons,1986,Richard Underhill
The Brian May Band,1991,Brian May
The Browning,2005,Noah Robertson
The Homosexuals,1978,Bruno Wizard
The Rock*A*Teens,1994,Kelly Hogan
Von Südenfed,2007,Mark E. Smith
The Robot Ate Me,2002,Ryland Bouchard
The High Strung,2000,Josh Malerman
Texas Hippie Coalition,2004,Big Dad Ritch
The Kendalls,1969,Jeannie Kendall
The Kendalls,1969,Royce Kendall
The Romanovs,2003,Morgan Kibby
Terrestrial Tones,2004,Avey Tare
The Loved Ones,2003,Dave Hause
The Wrights,2004,Nic Cester
The Chelsea Smiles,2004,Christian Martucci
The Sky Kings,1991,John Cowan
The Magic I.D.,2005,Kai Fagaschinski
The Soul Clan,1966,Solomon Burke
Thrush Hermit,1992,Joel Plaskett
The Sleepers,1978,Ricky Williams
Tonite Only,2005,Sam Littlemore
The Comsat Angels,1978,Stephen Fellows
The Dead C,1986,Bruce Russell
The Manfreds,1991,Paul Jones
The Squirrels,1984,Scott McCaughey
The Circus Tents,1989,Viva Hate
The Clouds,1989,Trish Young
The Dead Texan,2004,Christina Vantzou
The Clark Sisters,1966,Jacky Cullum Chisholm
The Dark Fantastic,1997,Mark Pickerel
The Spasm Band,2005,Anthony Joseph
The Chicharones,2001,Josh Martinez
The Del-Lords,1982,Eric Ambel
The Mirage,1965,Dee Murray
The Colourfield,1983,Terry Hall
The Thing,2000,Mats Gustafsson
Throw,2000,Al Dimalanta
The Dead Texan,2004,Adam Wiltzie
Tired Pony,2009,Gary Lightbody
Torngat,2001,Pietro Amato
The Crust Brothers,1997,Stephen Malkmus
The Moments,1963,Steve Marriott
The Main Frame,2005,Steve Krolikowski
The Monsoon Bassoon,1994,Kavus Torabi
The Manvils,2005,Mikey Manville
The Skull,2012,Eric Wagner
The Cortinas,1976,Dexter Dalwood
Toadies,1989,Vaden Todd Lewis
The Departed,2011,Cody Canada
Tin Hat,1997,Ben Goldberg
Time Is a Thief,2007,Adam Carroll
The Memories Attack,2006,Chris Thompson
The Missionary Position,2009,Jeff Angell
The Clouds,1989,Jodi Phillis
Tin Hat,1997,Rob Burger
Thulsa Doom,1999,Egil Hegerberg
The Corporation,1988,Brian Poole
Tin Hat,1997,Carla Kihlstedt
The Corporation,1988,Clem Curtis
The DC3,2010,Damian Cowell
The Danny Joe Brown Band,1980,Danny Joe Brown
The Swirling Eddies,1988,Terry Scott Taylor
The Stairs,1990,Edgar Jones
The Stampeders,1964,Rich Dodson
Training for Utopia,1996,Ryan Clark
The Dambuilders,1989,Dave Derby
The Corporation,1988,Reg Presley
The Constructus Corporation,2002,Watkin Tudor Jones
The Derek Trucks Band,1994,Derek Trucks
The Mad Turks from Istanbul,1984,Charles Jenkins
The Corporation,1988,Mike Pender
The Sparkletones,1956,Joe Bennett
Tin Hat,1997,Mark Orton
The McRackins,1994,Tom Thacker
The Sparkletones,1956,Jimmy Denton
The Constructus Corporation,2002,Markus Wormstorm
Thrashing Doves,1986,Gail Ann Dorsey
Toronto,1979,Holly Woods
The Sunnyboys,1980,Jeremy Oxley
The Corporation,1988,Tony Crane
Toilet Böys,1995,Miss Guy
The Constructus Corporation,2002,Felix Laband
The Dead Rabbitts,2011,Craig Mabbitt
The Starfires,1958,Tom King
The Star Club,1977,Q28068071
The Checkers,1981,Fumiya Fujii
The Commuters,2010,Zeeshan Zaidi
The Court & Spark,1998,Hiss Golden Messenger
The Slip,1996,Andrew Barr
The Smugglers,1988,Grant Lawrence
The Souljazz Orchestra,2002,Pierre Chrétien
The Springfields,1960,Mike Hurst
Thulsa Doom,1999,Ole Petter Andreassen
Thulsa Doom,1999,Henning Solvang
Toy,1994,You Hee-Yeol
The Star Club,1977,Tatsuya Nakamura
Thunder Express,2004,Robert Dahlqvist
The Damage Manual,2000,Martin Atkins
The Microphones,1998,Phil Elverum
Trader Horne,1969,Judy Dyble
The Constructus Corporation,2002,Yolandi Visser
The Crocodiles,1979,Fane Flaws
Timebox,1967,Ollie Halsall
The Deele,1981,Babyface
The Crucifucks,1981,Doc Corbin Dart
Three Loco,2011,Andy Milonakis
The Stunning,1987,Steve Wall
The Skulls,1977,Marc Moreland
The Memorials,2009,Thomas Pridgen
The Cross Movement,1996,The Ambassador
The Deadweights,1978,White Jimmy
The Tigers,1966,Kenji Sawada
The Times,1980,Ed Ball
Tin Star Orphans,2009,Zachary Bennett
The Softies,1994,Rose Melberg
The Marshall Pass,2012,Duncan Arsenault
Tirez Tirez,1978,Mikel Rouse
The Time Frequency,1990,Mary Kiani
The Squires,1963,Neil Young
The Stunning,1987,The Walls
Tin Tin,1966,Steve Kipner
Tinted Windows,2009,Taylor Hanson
The Chavs,2004,Carl Barât
The Choirboys,1979,Mark Gable
Towering Inferno,1985,Richard Wolfson
The Cutler,2006,Steve Cobby
Thrum,1992,Monica Queen
The Complex,1978,Liam Ó Maonlaí
Wannskrækk,1978,Persi Iveland
Wannskrækk,1978,Prepple Houmb
The Union,2009,Luke Morley
We Shot the Moon,2007,Crane Technique
Trees of Eternity,2013,Juha Raivio
Twenty One Pilots,2009,Joshua William Dun
Tribe,1985,Terri Brosius
The Verses,2009,Ella Hooper
Wheat Chiefs,1990,Marc Belke
The Raphaels,2001,Stuart Adamson
Trees of Eternity,2013,Aleah Stanbridge
The Ergs!,2000,Mikey Erg
The Parachute Club,1982,Lorraine Segato
The Disciplines,2005,Ken Stringfellow
Tristitia,1992,Luis Beethoven Galvez
The Winston Giles Orchestra,1999,Winston Giles
Twenty One Pilots,2009,Tyler Joseph
The Most,2000,Inge Johansson
Warzone,2006,MC Eiht
The Onyx,1966,Al Hodge
The Neighbourhood,2011,Jesse James Rutherford
The Nosebleeds,1976,Vini Reilly
Trybesmen,2000,eLDee
The Watchmen,1988,Daniel Greaves
Weeping Tile,1993,Sarah Harmer
The Party,1990,Albert Fields
The New Jazz Composers Octet,1997,David Weiss
The Undertakers,1961,Jackie Lomax
The Divine Madness,2005,Eliza Swenson
Wesley Willis Fiasco,1996,Wesley Willis
We Are Rockstars,2009,György Ligeti
très.b,2005,Misia Furtak
Ultraspank,1996,Pete Murray
The Violet Archers,2005,Tim Vesely
The Trews,1997,Colin MacDonald
Waxwing,1996,Rocky Votolato
Two-Star Tabernacle,1998,Jack White
The New Cars,2005,Elliot Easton
The Notorious Cherry Bombs,1980,Eddie Bayers
The Mothmen,1979,Dave Rowbotham
The Dope Poet Society,1992,Professor D
Turner Nichols,1988,Tim Nichols
U-J3RK5,1979,Jeff Wall
The Twilight Hours,2008,Matt Wilson
The Verve Pipe,1992,Brian Vander Ark
Western Front,1985,Fred Cole
Weird War,2001,Ian Svenonius
The Dixie Bee-Liners,2002,Infamous Stringdusters
The Ducks,1977,Neil Young
Sadistic Mika Band,1972,Kazuhiko Katō
The Escorts,1963,Terry Sylvester
The Europeans,1981,Steve Hogarth
Trusty,1989,Bobby Mathews
The Olivia Tremor Control,1992,Will Cullen Hart
Walking Papers,2012,Benjamin Anderson
The Electric Revelators,2004,Jerry Donahue
The Wolfmen,2004,Marco Pirroni
The Wandas,2002,Keith McEachern
The V-Roys,1994,Scott Miller
The Out Crowd,2001,Matt Hollywood
The Moors Murderers,1977,Steve Strange
Turing Machine,1998,Pitchblende
The Night Marchers,2007,John Reis
Tsunami,1990,Jenny Toomey
Tria Mera,2006,Juz Cook
The Normals,1998,Andrew Osenga
The Elizabethan Madrigal Singers,1950,William Mathias
The Orckestra,1977,Fred Frith
The Noel Redding Band,1972,Noel Redding
Wöyh!,2011,Jussi Hyyrynen
Ulige Numre,2011,Carl Emil Petersen
The Valentino Orchestra,1996,Gerald Danovitch
Wöyh!,2011,Antti Hyyrynen
The Uncle Devil Show,2004,Kevin McDermott
Watershed,1987,Colin Gawel
Tubular Bells for Two,2008,Daniel Holdsworth
Warriors,1986,Vicko Milatović
UTP,2003,Soulja Slim
The Paper Chase,1998,John Congleton
The Easy Riders,1956,Terry Gilkyson
Weep,2008,Doc Hammer
Two Tongues,2008,Chris Conley
Warriors,1982,Vicko Milatović
The Onset,1987,Mike Badger
The Pennywhistlers,1962,Ethel Raim
Waltons,1987,Jason Plumb
The Evaporators,1986,Nardwuar the Human Serviette
The Olympic Runners,1974,Mike Vernon
The Noise Revival Orchestra,2004,Nathan Felix
The Enemy,1977,Chris Knox
We Shot the Moon,2007,Jonathan Jones
The Peth,2008,Rhys Ifans
Walking Concert,2003,Walter Schreifels
Turnpike Troubadours,2007,John Fullbright
The Vogue,1999,Johnny Whitney
Wöyh!,2011,Anssi Nykänen
True West,1981,Russ Tolman
Waves under Water,2007,Angelica Segerbäck
Twenty One Pilots,2017,Joshua William Dun
The Troubadours,2004,Mark Frith
Wannskrækk,1978,Sola Jonsen
Ultralyd,2004,Kjetil Møster
The Unintended,2004,Rick White
The Vincent Black Shadow,2003,Cassandra Ford
The Philosopher Kings,1994,Gerald Eaton
The Vanity Set,2000,Jim Sclavunos
