person,spouse
Stokely Webster,Iva Kitchell
Steve Henry,Heather French Henry
Susan Bee,Charles Bernstein
Susan Harrison,Shawn Harrison
Susan Metcalfe Casals,Pau Casals
Sue Naegle,Dana Gould
Susan Buffett,Warren Buffett
Steven D. Wolens,Laura Miller
Steve Rasnic Tem,Melanie Tem
Stanley Clements,Gloria Grahame
Stefan Petrucha,Sarah Kinney
Stan Shaffer,Louise Robey
Steve Kramer,Melora Harte
Steph Davis,Dean Potter
Stacy Poitras,Alison Eastwood
Stanley Lombardo,Judith Roitman
Stacy Barcroft Lloyd Jr,Rachel Lambert Mellon
Stefan Fatsis,Melissa Block
Steve Park,Kelly Coffield Park
Susan Hufford,Michael Zaslow
Sue Ellen Wooldridge,J. Steven Griles
Susan Holmes,Duff McKagan
Stephen Oremus,Justin Bohon
Sunrise Coigney,Mark Ruffalo
Susan Diol,Andy Cadiff
Susan Bluestein,Brad Davis
Ralph Barton,Carlotta Monterey
Ralph Ingersoll,Thelma Saks Bradford Ingersoll
Quinn Norton,Danny O'Brien
Piper Kerman,Larry Smith
Raymond R. Guest,Caroline Haffner
"R. Douglas Stuart, Jr.",Ingegjerd Løvenskiold Stuart
Ralph Hoffmann,Gertrude W. Hoffmann
Raymond Blanco,Kathleen Blanco
Rebecca Otto,Shawn Lawrence Otto
Phyllis Hill,José Ferrer
Rainy Davis,Pete Kessler
Phyllis Hill,Frank Overton
Ray Baker,Patricia Richardson
Rebecca Norris Webb,Alex Webb
Ray Singleton,Berry Gordy
Ralph Pulitzer,Margaret Leech
Porter Shreve,Bich Minh Nguyen
Ray Farabee,Helen J. Farabee
Ralph Roeder,Fania Mindell
George Post Wheeler,Hallie Erminie Rives
Rachel Barenblat,Ethan Zuckerman
Phoebe Knapp,Joseph Fairchild Knapp
Rachel Ramras,Christian Duguay
Reby Sky,Matt Hardy
Ravin Caldwell,Teal Marchande
Reena Ninan,Kevin Peraino
Rachel Lambert Mellon,Paul Mellon
Phoebe Brand,Morris Carnovsky
Rachael Cantu,Liz Feldman
Raymond T. Pierrehumbert,Janet Pierrehumbert
Poppy Harlow,Sinisa Babcic
Phyllis Rankin,Harry Davenport
Ray Hutchison,Kay Bailey Hutchison
Randy Stone,Roslyn Kind
Reggie Rock Bythewood,Gina Prince-Bythewood
Rachelle Consiglio,Steve Wilkos
Rebecca Spikings-Goldsman,Akiva Goldsman
Rachel Goslins,Julius Genachowski
"Ralph Paine, Jr.",Nancy White
Poppy Cannon,Walter Francis White
R. N. DeArmond,Dale DeArmond
R. A. Montgomery,Shannon Gilligan
Ransom Riggs,Tahereh Mafi
Rachel Lambert Mellon,Stacy Barcroft Lloyd Jr
Rachel Robinson,Jackie Robinson
Ray Evernham,Erin Crocker
Phillippi Sparks,Jodi Sparks
Rebecca Luker,Danny Burstein
Phyllis Gates,Rock Hudson
Randi Oakes,Gregory Harrison
Raymond Woodard Brink,Carol Ryrie Brink
Ralph Kinnard,Mónica Pasqualotto
Raquel Torres,Jon Hall
Rachel Ryan,Richard Mulligan
Ralph Solecki,Rose Solecki
Rafe,Dru Berrymore
Ralph B. Strassburger,May Bourne Strassburger
Randy Laverty,Virginia Lee
Polly Lauder Tunney,Gene Tunney
Rebecca Welles,Don Weis
Randy Sparks,Diane Jergens
Raymond Hackett,Blanche Sweet
Rebecca Alban Hoffberger,Andrija Puharich
Ramon Clay,Julian Clay
Raye Hollitt,Ted Prior
Raymond McKee,Marguerite Courtot
Phyllis Fraser,Robert F. Wagner
Pierre Bernard,Blanche DeVries Bernard
Quentin Gibson,Jane Gibson
Priscilla Mitchell,Jerry Reed
Ralph Barton,Germaine Tailleferre
Ralph Jesson,Vivian Rich
Susan Blanchard,Richard Widmark
Pretty Shield,Goes Ahead
Susan Blanchard,Charles Frank
Rebecca Broussard,Richard Perry
Susan Blanchard,Michael Wager
Rande Gerber,Cindy Crawford
Phoebe Davies,Joseph R. Grismer
Phyllis Fraser,Bennett Cerf
Rebecca Heineman,Jennell Jaquays
Rachel Reilly,Brendon Villegas
Raymond Robins,Margaret Dreier Robins
Phyllis Huffman,David Huffman
Randy Weiner,Diane Paulus
Rebecca Harrell Tickell,Josh Tickell
Pilar Pallete,John Wayne
Phyllis Newman,Adolph Green
Randy Cohen,Katha Pollitt
Priscilla Cohn,José Ferrater Mora
Ralph Kiffmeyer,Mary Kiffmeyer
Regina M. Anderson,William T. Andrews
Radley Balko,Liliana Segura
Rachael Worby,Gaston Caperton
Susan Blanchard,Henry Fonda
Quincy Adams Shaw,Pauline Agassiz Shaw
Rachel Khedoori,Jason Rhoades
Ray Kappe,Shelly Kappe
Priscilla Rattazzi,Chris Whittle
Phillip Jeanmarie,Joy Bisco
Victoria Reggie Kennedy,Ted Kennedy
Walter Morosco,Corinne Griffith
Ursula Parrott,John Wildberg
Virginia Harned,William Courtenay
Veronique Peck,Gregory Peck
Victory Bateman,Wilfred Clarke
Virginia Foster Durr,Clifford Durr
Victor Orsatti,June Lang
Victor Orsatti,Marie McDonald
Virginia Sorensen,Alec Waugh
Valerie Allen Marland,William C. Marland
Vince Camuto,Louise Camuto
Victoria Toensing,Joseph diGenova
Virginia Clay-Clopton,Clement Claiborne Clay
Vop Osili,Una Osili
Frank Lopez,Elvira Hancock
Ray Benson,Jodi Benson
Victor Orsatti,Dolores Donlon
Wallace Notestein,Ada Comstock
Vanessa Ament,David E. Stone
Walter Bareiss,Molly Bareiss
Virginia Harned,E. H. Sothern
Velda Jones-Potter,Charles Potter
Wally Kurth,Cynthia Ettinger
Trudy Monk,Adrian Monk
Verna Arvey,William Grant Still
Valda Setterfield,David Gordon
Veronica Cooper,Gary Cooper
Scott Disick,Kourtney Kardashian
Virginia True Boardman,True Boardman
Walter Stanley Keane,Margaret Keane
Wally Peterson,Joy Nichols
Wally Nelson,Juanita Morrow Nelson
Walter H. Stevens,Ernestine H. Stevens
Vicki Risch,Jim Risch
Virginia Lamp Thomas,Clarence Thomas
Vincent Ostrom,Elinor Ostrom
Victoria Gotti,Carmine Agnello
Vivian Liberto,Johnny Cash
Vincent Gregory,Yvonne Gregory
Vince Demuzio,Deanna Demuzio
Virginia Halas McCaskey,Ed McCaskey
Vicki Sato,Lewis C. Cantley
Victor Drai,Kelly Le Brock
W. Horace Schmidlapp,Carole Landis
Trude Lash,Joseph P. Lash
Veronica Cooper,John Converse
Valerie Jackson,Maynard Jackson
Wally Hedrick,Jay DeFeo
Valerie Eliot,T. S. Eliot
Vanessa Fisk,Kingpin
Viola Harris,Robert H. Harris
Walt Bogdanich,Stephanie Saul
Victor Drai,Loryn Locklin
Tudi Roche,Richard Karn
Wallace Berman,Shirley Berman
"Walter Fondren, Sr.",Ella Florence Fondren
Victor Sutherland,Linda Barrett
Victor Sutherland,Pearl White
Vivienne Haigh-Wood Eliot,T. S. Eliot
Vanessa Claire Smith,French Stewart
Wallace Eddinger,Margaret Lawrence
Vincent Marzello,Lorelei King
Vivien Greene,Graham Greene
Virginia Johnson,James D. Johnson
Vladka Meed,Benjamin Meed
Vic Rauseo,Linda Morris
Ursula von Rydingsvard,Paul Greengard
Vytautas Andrius Graičiūnas,Unė Babickaitė
Walter A. Haas Jr.,Evelyn Danzig Haas
Waitstill Sharp,Martha Sharp
Virginia Heinlein,Robert A. Heinlein
Val Demings,Jerry Demings
Victor LaValle,Emily Raboteau
Walter Kerr,Jean Kerr
Victoria Carroll,Michael Bell
Victor Henry Anderson,Cora Anderson
Vera Buchanan,Frank Buchanan
Wallace Pratt,Iris Calderhead
Valentine Mott,Louisa Dunmore Mums Mott
Volga Hayworth,"Eduardo Cansino, Sr."
Venetia Stevenson,Don Everly
W. Graham Claytor,Gertrude Harris Boatwright Claytor
Veronica Porsche Ali,Carl Anderson
Veronica Porsche Ali,Muhammad Ali
Vincent Herbert,Tamar Estine Braxton
Virginia Earle,Frank Lawton
Vincent de Roulet,Lorinda de Roulet
Victor Gotbaum,Betsy Gotbaum
Venetia Stevenson,Russ Tamblyn
Ursula Niebuhr,Reinhold Niebuhr
Vicki Anderson,Bobby Byrd
Vantile Whitfield,Lynn Whitfield
Walter Channing,Stockard Channing
Victory Bateman,George Cleveland
Ursula Bellugi,Edward Klima
Vincent Hughes,Sheryl Lee Ralph
Van Kleeck Allison,Ernestine Hara Kettler
Troy Kinney,Margaret West Kinney
Richard Butler,Nonhelema
Richard Jacobs,Susan Freedman
Richard McGee Morse,Emerante Morse
Reginald Marsh,Felicia Meyer Marsh
Robert Ames,Vivienne Segal
Richard Wainwright,Evelyn Wotherspoon Wainwright
Robert Ames,Frances Goodrich
Richard Aldrich,Margaret Chanler Aldrich
Rita Braver,Robert Barnett
Reine Davies,George Regas
Rikki Klieman,William J. Bratton
Rita Carewe,LeRoy Mason
Robert Bolling,Anne Stith
Richard Peters,Abigail Willing Peters
Ricardo Rosselló,Beatriz Areizaga
Richard L. Simon,Andrea Heinemann Simon
Richard Niles,Tessa Niles
Robert Carter III,Frances Ann Tasker Carter
Robert Bauer,Anita Dunn
Rhoda Holmes Nicholls,Burr H. Nicholls
Renee Griffin,James Marshall
Rida Johnson Young,James Young
Richard Dauenhauer,Nora Marks Dauenhauer
Ricky Van Veen,Allison Williams
Richard Walton Tully,Eleanor Gates
Reine Davies,George Lederer
Rob Ackerman,Carol Weston
Robert C. Maynard,Nancy Hicks Maynard
Robert Desiderio,Judith Light
Robert D. Richardson,Annie Dillard
Robert A. Daly,Carole Bayer Sager
Riley Stearns,Mary Elizabeth Winstead
Richard Perry,Rebecca Broussard
Robert Dowd,Mara Devereux
Richard W. Winder,Barbara W. Winder
Richard Stahl,Kathryn Ish
Richard Froeschner,Elsie Herbold Froeschner
Rex Pickett,Barbara Schock
Richard J. Stephenson,Stacie Stephenson
Richard Revesz,Vicki Been
Richard Watson Gilder,Helena de Kay Gilder
Robert A. Bjork,Elizabeth Ligon Bjork
Richard Cromwell,Angela Lansbury
Robert Curry Cameron,Winifred Sawtell Cameron
Rhashan Stone,Olivia Williams
Richard MacNeish,June Helm
Richard Henry Stoddard,Elizabeth Drew Stoddard
Richard Lee I,Anne Constable
Ritch Shydner,Carol Leifer
Richard Chichester Mason,Lucy Bolling Randolph
Richard Rainwater,Darla Moore
Rick Harrison,Deanna Burditt
Ridgely Torrence,Olivia Howard Dunbar
Richard J. Collins,Dorothy Comingore
Renée French,Rob Pike
Richard Bland,Elizabeth Randolph
Richard Randolph,Jane Bolling
Ric Marlow,Leslie Parrish
Richard M. Cohen,Meredith Vieira
Richard R. Peabody,Caresse Crosby
Rich Vos,Bonnie McFarlane
Richard Gehman,Estelle Parsons
Richard Bertram,Lenore Lonergan
Richard Gautier,Barbara Stuart
Richard Lee II,Laetitia Corbin
Ripley Hitchcock,Martha Wolcott Hitchcock
Richard Ravitch,Diane Ravitch
Robert Dineen,Patricia Dineen
Reno Browne,Lash LaRue
Rich Blomquist,Kristen Schaal
Rileah Vanderbilt,Adam Green
"Richard Evelyn Byrd, Sr.",Ellinor Bolling Flood
Remy Auberjonois,Kate Nowlin
Richard Gilder,Lois Chiles
Richard Bushman,Claudia Lauper Bushman
Rich LeFevre,Carlene LeFevre
Richard Schaal,Valerie Harper
Richard Kollmar,Dorothy Kilgallen
Richard E. Cook,Mary N. Cook
Richard Clarke Cabot,Ella Lyman Cabot
Richard Kollmar,Anne Fogarty
Rener Gracie,Eve Torres
Renee Chenault-Fattah,Chaka Fattah
Rick Rose,Kathy Rose
Renn Hawkey,Vera Farmiga
Richard C. Blum,Dianne Feinstein
Rhoda Pritzker,Jack Nicholas Pritzker
Robert Bolling,Jane Rolfe
Richard Campbell,Glynnis Talken Campbell
Ricardo Gutierrez,Judith Ivey
Rita Gardner,Herb Gardner
Robert A. Altman,Lynda Carter
Richard Compton,Veronica Cartwright
Rick Elice,Roger Rees
Rhoda Haas Goldman,Richard Goldman
Richard W. Rahn,Peggy Noonan
Richard Rudolph,Minnie Riperton
Robert Alan Browne,Marjorie Stapp
Robert Cuccioli,Laila Robins
Rhonda Ross Kendrick,Rodney Kendrick
Teiji Ito,Maya Deren
Tess Slesinger,Herbert Solow
Thelma Leeds,Harry Einstein
Suzanne de Passe,Paul Le Mat
Ted Lewin,Betsy Lewin
Terry Dintenfass,James Morgan Read
Susanne Zenor,Edward Mallory
Tasha Alexander,Andrew Grant
Ted Gaines,Beth Gaines
Sylvia Plimack Mangold,Robert Mangold
Terry Finn,David Snyder
Teresa Nielsen Hayden,Patrick Nielsen Hayden
Terrell Tilford,Victoria Gabrielle Platt
Suzanne Storrs,Lionel Pincus
Susan Stroman,Mike Ockrent
Tappan Adney,Minnie Bell Sharp
Tara Vanflower,Mike VanPortfleet
Syne Mitchell,Eric Nylund
Ted Prior,Raye Hollitt
Thomas Forsthoefel,Beth Gylys
Suzanne Massie,Seymour Papert
Susie Feldman,Corey Feldman
Suzanna Love,Ulli Lommel
Teresa Bagioli Sickles,Daniel Sickles
Theodora Keogh,Tom Keogh
Tex Thornton,Flora L. Thornton
Tabitha Gilman Tenney,Samuel Tenney
Suzanne Massie,Robert K. Massie
Terry Rhoads,Lise Simms
Thayer Hobson,Laura Z. Hobson
Tamara Jenkins,Sky Christopherson
Sylvia Breamer,Harry Martin
Tevian Dray,Corinne Manogue
Theresa Bernstein,William Meyerowitz
Tamara Brooks,Theodore Bikel
Ted Lieu,Betty Lieu
Sybil Stockdale,James Stockdale
Theo Alice Ruggles Kitson,Henry Hudson Kitson
Suzanne Berger,Kenneth Keniston
T. B. Walker,Harriet G. Walker
Theresa Meeker,Ryan Pickett
Suzy Shuster,Rich Eisen
Tamara Shayne,Akim Tamiroff
Sylvia Marlowe,Leonid Berman
Theophilus Brown,Paul Wonner
Tamara Geva,George Balanchine
Tamara Geva,John Emery
Susan Watson,Frank Watson
Ta-Tanisha,Lee Weaver
Susan Spencer,Thomas Oliphant
Te Ata Fisher,(George) Clyde Fisher
Theodore Clement Steele,Selma Neubacher Steele
T. E. Dikty,Julian May
Theodora Morse,Theodore F. Morse
Theodore Frelinghuysen Seward,Mary C. Seward
Terry Rakolta,John Rakolta
Theodore Douglas Robinson,Helen Rebecca Roosevelt
Swanee Hunt,Charles Ansbacher
Taro Yashima,Mitsu Yashima
Ted Coy,Jeanne Eagels
Martin von Haselberg,Bette Midler
Tex McCrary,Jinx Falkenburg
Susan Wallace,Lew Wallace
Tarquin Gotch,Alexandra Pigg
William Thomas Hallenback Jr.,Ellen Thomas
Teresa Carpenter,Steven Levy
Sylvia Field,Ernest Truex
Ted Chabasinski,Judi Chamberlin
Ted Hartley,Dina Merrill
Ted Wells,Nina Mitchell Wells
Teresa A. Sullivan,Douglas Laycock
Terri Edda Miller,Andrew W. Marlowe
Tavin Marin Titus,Richard D. Titus
Susan Ursitti,Jonathan Sheinberg
Susan Smalley,Kevin Wall
Tami Taylor,Eric Taylor
Suzzy Roche,Loudon Wainwright III
Theophilus Parsons,Catherine Amory Chandler Parsons
Suzanne Kaaren,Sidney Blackmer
Susanna Boylston,"John Adams, Sr."
Sybil Robson Orr,Matthew Orr
Thomas E. Leavey,Dorothy Leavey
Tananarive Due,Steven Barnes
Teddy Campbell,Tina Campbell
Theodorick Bland of Westover,Anna Bennett
Theophilus Gould Steward,Susan McKinney Steward
Susie Tompkins Buell,Douglas Tompkins
Teresa Giudice,Joe Giudice
Terrence E. McNally,Julie Brown
Tad Friend,Amanda Hesser
Theodosia Burr Alston,Joseph Alston
Sylvia Bozeman,Robert Bozeman
Susan W. Tanner,John S. Tanner
Sy Gomberg,Maxine Cooper Gomberg
Tamara Cofman Wittes,Benjamin Wittes
Tehilla Lichtenstein,Morris Lichtenstein
"Thomas F. Frist, Jr.",Patricia C. Frist
Tanee McCall,Young Buck
Tess Harding,Max Evans
Swietlan Kraczyna,Amy Luckenbach
Samuel Parker,Abigail Kuaihelani Campbell
Samuel Washington,Mildred Thornton
Samuel Washington,Anne Steptoe
Sara Haardt,Henry Lewis Mencken
Selma Botman,Tom Birmingham
Sebastian Gorka,Katharine Gorka
Sharon R. Long,Harold McGee
Scott Makar,Nancy Hogshead-Makar
Sandra Seaton,James Seaton
Samuel Harrison Smith,Margaret Bayard Smith
Scott Silveri,Shana Goldberg-Meehan
Scott Holroyd,Allison Munn
Sharon Tiller,Lowell Bergman
Seneca M. Dorr,Julia C. R. Dorr
Samuel Isaac Weissman,Jane Loevinger
Sarah Morgan Bryan Piatt,John James Piatt
Seymour Heller,Billie Heller
Sandy Hill,Robert Pittman
Sandra Grant Bennett,Tony Bennett
Sandra Nelson,Charles Winkler
Sandra Uptagraft,Eric Uptagrafft
Serge Sorokko,Tatiana Sorokko
Sara Alpern,Peter Tarlow
Shana Goldberg-Meehan,Scott Silveri
Sandra Casber Wise,Bob Wise
Sarah Hildreth Butler,Benjamin Franklin Butler
Sharon Davis,Gray Davis
Sarah Brady,James Brady
Sarah Micklem,Cornelius Eady
Steve Tisch,Jamie Tisch
Sebastian Arcelus,Stephanie J. Block
Samuel Ward,Julia Cutler Ward
Sarah Thyre,Andy Richter
Sarah Lee Lippincott,Dave Garroway
Sharmagne Leland-St. John,Richard Sylbert
Sarah Langan,J. T. Petty
Shari Redstone,Yitzhak Aharon Korff
Sara Seegar,Ezra Stone
Sharon Gans,Alex Horn
Samuel Halpert,Edith Halpert
Seth Wells Cheney,Ednah Dow Littlehale Cheney
Scott Sanders,Brad Lamm
Sara Sothern,Francis Lenn Taylor
Sandra Dorsey,Joe Dorsey
Sebastian Copeland,Brigitte Nielsen
Sean Fine,Andrea Nix Fine
Shaenon K. Garrity,Andrew Farago
Sarah Knowles Bolton,Charles Edward Bolton
Shane Fontayne,Mackenzie Phillips
Scott Aukerman,Kulap Vilaysack
Sanford Bookstaver,Rena Sofer
Sharon Percy Rockefeller,Jay Rockefeller
Sharon Epperson,Christopher John Farley
Sarah Dorsey,Samuel Worthington Dorsey
Samuel Eliot,Catherine Atkins
Scott DeFreitas,Maura West
Sharon LaFraniere,Michael Wines
Samuel Powel,Elizabeth Willing Powel
Scott Baker,Nicole Johnson
Scott Peterson,Melissa Wiley
Sharon Thomas,Christopher Cain
Samuel Eliot,Emily Marshall Otis
Scott Campbell,Lake Bell
Sarah J. Garnet,Henry Highland Garnet
Sande Zeig,Monique Wittig
Shaune Bagwell,Jeff Bagwell
Sharon Dahlonega Raiford Bush,Grand L. Bush
Sandy Pflueger,Mark Phillips
Sharon Oster,Ray Fair
Sean Whitesell,Maria Quiban
"Samuel Irving Newhouse, Sr.",Mitzi E. Newhouse
Sara Bronfman,Basit Igtet
Seth Avett,Jennifer Carpenter
Sara Erikson,Peter Oldring
Sarah Lyall,Robert McCrum
Sarah Haskins,Geoffrey Edwards
Sandy Hawley,Q38277288
Sharon Runner,George Runner
Sara Bard Field,Charles Erskine Scott Wood
Shari Robertson,Michael Camerini
Samuel L. Gouverneur,Maria Hester Monroe Gouverneur
Sanela Diana Jenkins,Roger Jenkins
Sarah Bush Lincoln,Thomas Lincoln
Sara Northrup Hollister,L. Ron Hubbard
Sarah Kidder,John Flint Kidder
Samuel W. Bridgham,Elizabeth Paine
Sean Lowe,Catherine Giudici
Sarah Blake,Joshua Weiner
Sandi Jackson,Jesse Jackson Jr.
Sara Moulton,Bill Adler
Sara Wilford,Ronald A. Wilford
Sandy Fox,Lex Lang
Sarah Marshall,Carl Held
Scott Stuber,Molly Sims
Sarah Franklin Bache,Richard Bache
Scott Wise,Elizabeth Parkinson
Sarah Glaser,Jay Glaser
Sarah Marshall,Mel Bourne
Sara Miller McCune,George D. McCune
Sara Agnes Rice Pryor,Roger Atkinson Pryor
Robert Pittman,Sandy Hill
Roberto Benabib,Amy Spindler
Robert Taber,Julia Marlowe
Robert Treuhaft,Jessica Mitford
Robert Symonds,Priscilla Pointer
Robin Clark,Carlos Alomar
Robert Garlick Hill Kean,Jane Nicholas Randolph Kean
Robert Stoepel,Matilda Heron
Robert MacFarlan Cole III,Wertha Pendleton Cole
Robert Winthrop Chanler,Lina Cavalieri
Robert Tilton,Leigh Valentine
Robin Green,Mitchell Burgess
Robert S. James,Zerelda James
Robert J. Glushko,Pamela Samuelson
Robert Six,Audrey Meadows
Robert H. Bolton,Peggy Bolton
Robin Lakoff,George Lakoff
Robert Falls,Kat Falls
Robert Six,Ethel Merman
Robert N. Fried,Nancy Travis
Robert J. Cotter,Catherine Clarke Fenselau
Robert Edwin Lee,Janet Waldo
Robert Emmet McLaughlin,Mignon McLaughlin
Roberta Smith,Jerry Saltz
Robert Maginn,Chai Ling
Robert Henry Newell,Adah Isaacs Menken
Robert Manning,Margaret R. Manning
Robert Ensko,Mary Elizabeth Bleakley
Robert Hallowell Richards,Ellen Swallow Richards
Robin Wells,Paul Krugman
Robert Richardson Sears,Pauline Snedden Sears
Robert S. Rivkin,Cindy S. Moelis
Robin Pappas,Malcolm McKay
Robert Nederlander,Gladys Nederlander
Robert Fritz,Ross Hannaman
Robin Kelley,LisaGay Hamilton
Robert King,Michelle King
Robert Olds,Nina S. Gore
Robert Smith,Clarice Smith
Robert Kent,Astrid Allwyn
Robert Wilcox,Florence Rice
Robert Kistner,Janet Langhart
Robert Wilcox,Diana Barrymore
Robert McQueeney,Patricia McQueeney
"Robert Guza, Jr.",Meg Bennett
Robert Williams Daniel,Margery Durant
Robert Thom,Millie Perkins
Robert Ellis,May Allison
Robert P. McChesney,Mary Fuller
Robert Gould Shaw II,"Nancy Astor, Viscountess Astor"
Robert Ivers,Marcia Henderson
Roberta Dodd Crawford,Kojo Tovalou Houénou
Robert Wells,Lisa Kirk
Robin Wagner,Paula Wagner
Robert Wrigley,Kim Barnes
Robert Horton,Barbara Ruick
Robert McKnight,Elizabeth O'Hara Denny McKnight
Robert Thom,Janice Rule
William Stephens Smith,Abigail Adams Smith
Wendy West,Billy Hayes
William J. Bailey,Margaret Jewett Smith Bailey
William Harrison Rice,Mary Sophia Hyde Rice
William Wulf,Anita K. Jones
William Dyer,Mary Dyer
Walter Muehlbronner,Irene Maguire
Warren Berlinger,Betty Lou Keim
Will Eno,Maria Dizzia
William Albert Norris,Merry Norris
William Randolph II,Elizabeth Beverley Randolph
Weston Adams,Elizabeth Nelson Adams
William Troy,Léonie Adams
William J. Hough,Clarinda Carpenter Hough
Wayne White,Mimi Pond
William S. Cowles,Bamie Roosevelt
William Ashbrook Kellerman,Stella Victoria Kellerman
William John Tell,Lauren Conrad
Wayne Massey,Andrea Evans
William Curtis Noyes,Julia Tallmadge Noyes
William Seward Webb,Eliza Osgood Vanderbilt Webb
William Hawks,Bessie Love
William Close,Bettine Moore Close
William Spier,June Havoc
William Spier,Kay Thompson
"William Collier, Sr.",Louise Allen
William T. Andrews,Regina M. Anderson
William O. Aydelotte,Myrtle Aydelotte
Weili Dai,Sehat Sutardja
William Earl Dodge Stokes,Rita de Acosta Lydig
William Wendt,Julia Bracken Wendt
Willard Dickerman Straight,Dorothy Payne Whitney
Wayne Pacelle,Kirsten Rosenberg
Wayne Pacelle,Lisa Fletcher
William Agee,Mary Cunningham Agee
William R. Rivkin,Enid Hammerman
Will Proctor,Ainsley Earhardt
William T. Orr,Joy Page
Wellington Webb,Wilma Webb
"William Collier, Sr.",Paula Marr
William Grant Sherry,Bette Davis
William F. Nast,Esther A. Benoist
William Byrd III,Mary Willing Byrd
William T. Granahan,Kathryn E. Granahan
William Drew Robeson I,Maria Louisa Bustill
Will Beall,Elizabeth Beall
William Shankland Andrews,Mary Raymond Shipman Andrews
Willard Mack,Marjorie Rambeau
Willard Mack,Pauline Frederick
William Cranch,Nancy Greenleaf Cranch
William A. Marovitz,Christie Hefner
Wendy Lee Gramm,Phil Gramm
William Jennings Demorest,Ellen Curtis Demorest
Wilbur Ross,Betsy McCaughey
William Robertson Coe,Mary (Mai) Huttleston Rogers Coe
