person,child
Henry Miller,Rube Miller
Herbert C. Harrison,Arthur Brydges Branfill Harrison
Herbert C. Harrison,Charles Aylett Harrison
Herbert C. Harrison,John Egerton Harrison
Henry Miller,Gilbert Miller
Henry Keyes,Henry W. Keyes
Henry Jarecki,Andrew Jarecki
Henry Honoré,Ida Marie Honoré
Henry Louis Stephens,Frank Stephens
"Henry Phipps, Jr.",Henry Carnegie Phipps
"Henry Phipps, Jr.",John Shaffer Phipps
Henry Jarecki,Nicholas Jarecki
Herbert Haft,Robert Haft
Henry Darnall,Henry Darnall II
Henry Honoré,Bertha Palmer
Henry William de Saussure,William F. De Saussure
Henry Sturgis Morgan,Henry Sturgis Morgan Jr.
Henry Miller,Agnes Heron Miller
Henry Brewster Stanton,Harriot Eaton Stanton Blatch
Carl Wilkes,Annie Wilkes
William Jay,John Jay
Steve Furness,Zack Furness
Liz Danes,Jess Mariano
Henry Brewster Stanton,Theodore Stanton
H. L. Richardson,Doug Richardson
Ilene Graff,Nikka Graff Lanzarone
Katherine Borowitz,Diego Turturro
Homer Groening,Matt Groening
Helen Jones Woods,Cathy Hughes
Hiroaki Aoki,Devon Aoki
Hodding Carter III,Finn Carter
"Henry A. Courtney, Jr.",Victor Courtney
"Harvey S. Firestone, Jr.",Martha Firestone Ford
Henry Browne Blackwell,Alice Stone Blackwell
Irwin M. Jacobs,Paul E. Jacobs
Hal Mumme,Matt Mumme
Isaac Touro,Judah Touro
Ian Balding,Andrew Balding
Idabelle Smith Firestone,Leonard Firestone
James Nesmith,Harriet Kezziah Nesmith McArthur
Judy Canova,Diana Canova
Indrani Rahman,Sukanya Rahman
"Hugo Black, Jr.",Hugo Black III
Howard Winklevoss,Tyler Winklevoss
Horace R. Cayton,"Horace R. Cayton, Jr."
"Harvey S. Firestone, Jr.",Harvey Samuel Firestone III
William Knowland,Joe Knowland
Indrani Rahman,Ram Rahman
Natalie Whitford Uhl,Natalie
Helen Silvermaster,Anatole Boris Volkov
Ian Balding,Clare Balding
Idabelle Smith Firestone,"Harvey S. Firestone, Jr."
Isaac Welsh,Leroy Welsh
H. L. Bateman,Kate Josephine Bateman
Iris Burton,Barry Miller
Homer Drew,Scott Drew
Isaac Craig,Henry K. Craig
Gwynne Gilford,Chris Pine
H. Irving Grousbeck,Wyc Grousbeck
Henry Black,Jeremiah S. Black
Siri von Reis,Serena Altschul
Herman Maisel,Ivan Maisel
H. L. Matthews,Clay Matthews Sr.
H. L. Bateman,Virginia Bateman
Hannah Weinstein,Paula Weinstein
Katherine Borowitz,Amedeo Turturro
Thomas Addis Emmet,Robert T. Emmet
Thomas Addis Emmet,William C. Emmet
Thomas Addis Emmet,John Patten Emmet
Henry A. Strong,Henry G. Strong
Irvin Feld,Kenneth Feld
Irene Purcell,Karen Johnson Boyd
Huntington Hartford,John Hartford
Ira David Wood III,Ira David Wood IV
Howard Van Doren Shaw,Sylvia Shaw Judson
Helaman Pratt,Rey Pratt
Hal LeSueur,Joan Crawford Le Sueur
Harvey Rexford Hitchcock,Edward Griffin Hitchcock
Hilborne Roosevelt,Dorothy Quincy Roosevelt
Hezekiah S. Bundy,Julia Foraker
Idabelle Smith Firestone,Russell Allen Firestone
Idabelle Smith Firestone,Raymond Christy Firestone
Idabelle Smith Firestone,Roger Stanley Firestone
Idabelle Smith Firestone,Elizabeth Firestone
Isaac Edward Emerson,Margaret Emerson
H. Walter Webb,J. Griswold Webb
Helen L. Seaborg,David Seaborg
Helen Beverley,Julie Cobb
Howard Winklevoss,Cameron Winklevoss
H. M. Wynant,Bruce Winant
H. L. Bateman,Ellen Bateman
Harmar Denny,Elizabeth O'Hara Denny McKnight
Haller Nutt,"Haller Nutt, Jr."
Helena Kalokuokamaile Wilcox,Owana Salazar
Homer Edwin Young,Edwin Barry Young
Hodding Carter,Hodding Carter III
Isaac Craig,Neville B. Craig
Isaac M. Taylor,James Taylor
H. L. Bateman,Isabel Bateman
I. B. Hale,Robert Allen Hale
Isaac M. Taylor,Alex Taylor
Isaac M. Taylor,Kate Taylor
Richard Benjamin Harrison,Rick Harrison
Hal De Forrest,Buddy DeSylva
Homer Drew,Bryce Drew
Ira David Wood III,Evan Rachel Wood
Helen Hay Whitney,John Hay Whitney
Isaac M. Taylor,Livingston Taylor
Patricia Walker,Geoffrey Edwards
Herbert Spiegel,David Spiegel
Huntington Hartford,Catherine Hartford
"Howard F. Ahmanson, Sr.","Howard Ahmanson, Jr."
Howard Smith,Cass Calder Smith
Huntington Hartford,Juliet Hartford
Isaac Seligman,Matilda Frances Seligman
Isaac Seligman,Richard Joseph S. Seligman
Helen Hay Whitney,Joan Whitney Payson
Patricia Walker,Jennifer Edwards
Huntington D. Sheldon,Peter Llewellyn Sheldon
Herbert Jepson,Elena Karina Byrne
Hugo Danner,Iron Munro
Helaman Pratt,Anna Amelia Pratt
Heather Rae,Johnny Sequoyah
Helen Callaghan,Casey Candaele
Helen Yglesias,Rafael Yglesias
Howard Crosby,Ernest Howard Crosby
Hannah Milhous Nixon,Richard Nixon
Hadley Richardson,Jack Hemingway
Everett Lee,Erik Lee
John W. Nordstrom,Everett Nordstrom
"Isaac Allerton, Jr.",Sarah Allerton
Herbert London,Stacy London
Harvey Hollister Bundy,McGeorge Bundy
Hannah Milhous Nixon,Edward Nixon
Helen Callaghan,Kelly Candaele
Harvey Rice,Henrietta Maria Rice
Fred Goldman,Kim Goldman
Linda Miller,Jason Patric
Harvey Seeley Mudd,Henry T. Mudd
Herman Clarence Nixon,John Trice Nixon
Harvey Rice,James S. Rice
Gylan Kain,Amber Kain
Hannah Milhous Nixon,Donald Nixon
Isaac Norris,Isaac Norris
Joseph Mezzara,François Mezzara
Harvey Whitefield Scott,Leslie M. Scott
Fred Goldman,Ron Goldman
Harvey Hollister Bundy,William Bundy
Hiram Lodge,Veronica Lodge
Hiroaki Aoki,Steve Aoki
Helen J. Farabee,David Farabee
Marrion Wilcox,Nina Wilcox Putnam
Thomas Addis Emmet,Thomas Addis Emmet
Ian Woodner,Andrea Woodner
Joseph Mezzara,Charles Mezzara
Hiram Bingham II,Hiram Bingham III
Hamilton Fish Kean,Robert Kean
H. T. Lowe-Porter,Beatrice Lowe
Isaac Roosevelt,John Aspinwall Roosevelt
José Santos Alegría,Ricardo Alegría
José Enrique Arrarás,María Celeste Arrarás
Henry Bruère,Richard Treat Bruère
Hugh Cassidy,Eva Cassidy
Henry Bates Grubb,"Edward Burd Grubb, Sr."
Leslie Newton Goodding,Charlotte Goodding Reeder
James Scollay Whitney,William Collins Whitney
"James Earl Carter, Sr.",Billy Carter
Itzhak Bentov,Sharona Ben-Tov Muir
James I. Brownson,James I. Brownson
"James Earl Carter, Sr.",Ruth Carter Stapleton
J. C. Nugent,Elliott Nugent
James Burrill Angell,Alexis Caswell Angell
James W. Husted,James W. Husted
Jack Pepper,Cynthia Pepper
James Burrill Angell,James Rowland Angell
James A. Roosevelt,Alfred Roosevelt
James Jackson,Harriet Jackson
James W. Bolton,Robert H. Bolton
Jared Bradley Flagg,Louise Flagg Scribner
James Roosevelt,Grace Walton Roosevelt
James Roosevelt,Isaac Roosevelt
James Maury,Ann Maury
"Jacob Schaefer, Sr.","Jacob Schaefer, Jr."
Israela Margalit,Fiona Maazel
Jack Gaughan,Norah Gaughan
J. C. Nugent,Ruth Nugent
Jackie Clarkson,Patricia Clarkson
James Suckling,Isabel Suckling
Jane S. Richards,Franklin S. Richards
James A. King,Samuel Wilder King
James DeWoody,Kyle DeWoody
James Sproat Green,Robert Stockton Green
James Benson,Alfred Benson
James Benson,Ada Amelia Benson
James Benson,Alice Benson
James Benson,Arthur Henry Benson
James Benson,Clare Benson
James Benson,Ellen Benson
James Benson,Emily Benson
James Benson,James William Schindler Benson
James Benson,Edith Benson
Janet Huckabee,David Huckabee
James Wadsworth,James S. Wadsworth
"James Otis, Sr.",Mercy Otis Warren
Jacob Eisenberg,Jacqueline Moss
Ivy Baker Priest,Pat Priest
Isabelle Liberman,Mark Liberman
"James Otis, Sr.",James Otis
Jack Eagle,Ian Eagle
James William Wallack,Lester Wallack
James G. Butler,Eugenia P. Butler
William Ward Burrows I,William Ward Burrows II
Janet Huckabee,Sarah Sanders
"James L. Farmer, Sr.","James L. Farmer, Jr."
James Lew,Ryan Potter
James Elliot Cabot,Richard Clarke Cabot
Jabe Thomas,Ronnie Thomas
James Wadsworth,Elizabeth Wadsworth
James R. Lyons,Brooke Lyons
Jack Vaughn,"Jack Vaughn, Jr."
Jacques Marcus Prevost,John Bartow Prevost
James C. Kellogg III,Peter Kellogg
"James Otis, Sr.",Samuel Allyne Otis
James Maury,William Morris Maury
Jack Reagan,Ronald Reagan
James Stephens Bulloch,James Dunwoody Bulloch
James DeBarge,Kristinia DeBarge
James Elliot Cabot,Hugh Cabot
James Wolcott Wadsworth,"James Wolcott Wadsworth, Jr."
Jack Lemley,Jim Lemley
Jacob Lindley,Daniel Lindley
Thatcher Grey,Lexie Grey
Thatcher Grey,Molly Grey Thompson
Janice Winblad,Cindy Griffiths
Thatcher Grey,Meredith Grey
John Floyd,John Floyd
James H. Rubin,Henry Alex Rubin
J. A. O. Preus II,J. A. O. Preus III
Martin E. Marty,John Marty
James Stephens Bulloch,Martha Bulloch Roosevelt
James Frederick Joy,Henry Bourne Joy
Janet Mondlane,Nyeleti Mondlane
Jack Schwartzman,Jason Schwartzman
"James Montaudevert Waterbury, Sr.",Lawrence Waterbury II
James Stephens Bulloch,Irvine Bulloch
James P. Gorman,Caroline Gorman
Jack Carter,Jason Carter
Jack Schwartzman,John Schwartzman
Jacob Fjelde,Paul Fjelde
Jack Schwartzman,Robert Coppola Schwartzman
"James Montaudevert Waterbury, Sr.",Monte Waterbury
Jackson Stitt Wilson,Viola Barry
Jack Reagan,Neil Reagan
"James W. Walter, Sr.",Jimmy Walter
Jane Rolfe,John Bolling
"J. Ernest Wilkins, Sr.","J. Ernest Wilkins, Jr."
J. Hillis Miller,J. Hillis Miller
Jack Gilpin,Betty Gilpin
Jane Lawrence,Kiki Smith
James George Bell,Alphonzo Bell
James Campbell,Abigail Campbell Kawānanakoa
Jack Levin,Douglas Levin
"James Hugh Keeley, Jr.",Edmund Keeley
James Corrigan,Lloyd Corrigan
James White,Hugh Lawson White
James Frothingham,Sarah C. Frothingham
James Stephens Bulloch,Anna Bulloch Gracie
Julius Rosenwald,Lessing J. Rosenwald
Janet Abu-Lughod,Lila Abu-Lughod
James Glickenhaus,Jesse Cameron-Glickenhaus
"Jack Lowe, Sr.","Jack Lowe, Jr."
Jack Skurnick,Davi Napoleon
James Bicknell Castle,Harold Kainalu Long Castle
"James Hugh Keeley, Jr.",Robert V. Keeley
James Roosevelt Roosevelt,Tadd Roosevelt
James Alexander,"William Alexander, Lord Stirling"
Robert J. Frankel,Bethenny Frankel
J. A. C. Chandler,Alvin Duke Chandler
James Barbour,John Strode Barbour
Jack Reagan,John Neil Reagan
Jane Langton,Christopher Langton
"James Earl Carter, Sr.",Jimmy Carter
James C. Quayle,Dan Quayle
Julius Rosenwald,Edith Rosenwald Stern
"James A. Baker, Jr.",James Baker
J. Irwin Miller,Hugh Miller
J. Irwin Miller,Margaret Miller
J. Irwin Miller,Catherine Miller
Jared Bradley Flagg,Ernest Flagg
James Bryan,William Joel Bryan
J. Irwin Miller,Will Miller
Jaime Carbonell,Isabelle Carbonell
"James Marion West, Sr.",Wesley West
J. Roderick MacArthur,Greg MacArthur
James Jackson,James Jackson Jr.
James A. Roosevelt,Emlen Roosevelt
"J. Joseph Curran, Jr.",Katie O'Malley
James E. Robinson,Pauline Robinson
J. Irwin Miller,Elizabeth Miller
J. Borden Harriman,Ethel Borden
"James Earl Carter, Sr.",Gloria Carter Spann
James Henry Hackett,James K. Hackett
James Henry Hackett,John Keteltas Hackett
James Roosevelt Roosevelt,Helen Rebecca Roosevelt
James Benson,Constance Benson
James Moore,"James Moore, Jr."
"James Marion West, Sr.","James Marion West, Jr."
Max Tishler,Peter Tishler
J. Roderick MacArthur,John R. MacArthur
J. Spencer Cornwall,Carol Cornwall Madsen
James Creelman,James Ashmore Creelman
James Scollay Whitney,Henry Melville Whitney
James T. Austin,Ivers James Austin
Jim Bob Duggar,Josh Duggar
Jeff King,Ellen King
John Berrien Lindsley,Margaret Lindsley Warner
Jessie Woodrow Wilson Sayre,"Francis Bowes Sayre, Jr."
Jimmy Hope,Johnny Hope
Jim Bob Duggar,Jackson Levi
Joann Aalfs,Janet Aalfs
Jim Bob Duggar,Josie Duggar
Jeff King,Cali King
John Considine,John W. Considine Jr.
Jim Bob Duggar,Jennifer Danielle
Jim Bob Duggar,Johannah Duggar
Jim Bob Duggar,James Duggar
Jewel Lafontant,"John W. Rogers, Jr."
Jeanne Beauprey,Kelly Reeves
John Bayard,Margaret Bayard Smith
John Bradley,James Bradley
Jim Bob Duggar,Jill Duggar
John Billington,Francis Billington
John Bennett Ramsey,JonBenét Ramsey
Joe Blanchard,Tully Blanchard
Jessie Harlan Lincoln,Mary Lincoln Beckwith
Jeff King,Tessa King
Jeremiah Dummer,William Dummer
Jesse Olney,Charles F. Olney
Jim Gillette,Walker Gillette
Jeremiah Watkins Clapp,W. L. Clapp
John Bishop Putnam,George P. Putnam
"John Collins Warren, Jr.",John Warren
Jim Barrett,Bo Barrett
Horatio Seymour,Horatio Seymour
Jimmy Meng,Grace Meng
Joe Ricketts,Pete Ricketts
Jeremiah Dummer,Jeremiah Dummer
Jeanne Hurley Simon,Sheila Simon
Jim Vallely,Tannis Vallely
Jessie Tuggle,Justin Tuggle
Jeff Capel II,Jeff Capel III
Jesse Knight,Raymond Knight
Jimmy Haun,Lindsey Haun
Jesse Barfield,Josh Barfield
Jeff Capel II,Jason Capel
Jesse Root Grant,Chapman Grant
Jay Catherwood Hormel,James Hormel
Jim Padgett,Pete Padgett
Jesse Root Grant,Nellie Grant
Jason Sellers,Aubrie Sellers
Joe Ricketts,Todd Ricketts
Jeff Dunas,Alexa Davalos
Jennifer Howard,Tony Goldwyn
Jean Baker Miller,Jonathan Miller
Joan Tisch,Jonathan Tisch
Joe Ricketts,Thomas S. Ricketts
Jessie Tuggle,Grady Jarrett
Jeff Greenberg,Camila Greenberg
Jessica Canseco,Josie Canseco
Jean Baucus,Max Baucus
Joe Ricketts,Laura Ricketts
Joan Tisch,Steve Tisch
John Coggeshall,"John Coggeshall, Jr."
Jay Catherwood Hormel,Geordie Hormel
Jerome Toobin,Jeffrey Toobin
John Carter Brown,John Nicholas Brown I
Jim Haslam,Jimmy Haslam
John Bascom,Florence Bascom
"John C. Metzler, Sr.","John C. Metzler, Jr."
Horatio Seymour,Ozias Seymour
John Catsimatidis,Andrea Catsimatidis
John Catsimatidis,"John A. Catsimatidis, Jr."
John Byington,Martha Amadon
Jeffrey Hollender,Meika Hollender
Jim Klobuchar,Amy Klobuchar
Jeremiah Evarts,William M. Evarts
Jim Halsey,Sherman Halsey
Jean Baptiste Ricord,Frederick William Ricord
Jeff Bass,Jake Bass
"Joe Kirkwood, Sr.",Joe Kirkwood Jr.
Jean Baptiste Ricord,John Ricord
Jesse Appleton,Jane Pierce
Jasper Ewing Brady,George K. Brady
Jeff Yang,Hudson Yang
Jennifer Howard,John Goldwyn
Jerome Witkin,Christian Witkin
Jefferson Hunt,John Hunt
Jeramie Rain,Ben Dreyfuss
Jim Haslam,Bill Haslam
John Bosa,Nick Bosa
Jeanie Gould,Natalie Sumner Lincoln
John Clarkson Jay,Peter Augustus Jay
Jesse L. Boucher,Sherry Boucher
Jerry Pinkney,Brian Pinkney
Jesse L. Boucher,Smith Boucher
Jesse Appleton,Frances Appleton
"Jerry Hairston, Sr.",Jerry Hairston Jr.
"John C. Bailar, Jr.",John Christian Bailar
Jim Burrow,Joe Burrow
Jay Tarses,Jamie Tarses
Jeff Sellers,Justin Sellers
Jerrold Wexler,Tanya Wexler
Jeannette Piccard,Don Piccard
John Bosa,Joey Bosa
"Jerry Hairston, Sr.",Scott Hairston
"Joseph Smith, Sr.",Joseph Smith
John Church Hamilton,Alexander Hamilton
"Joseph Smith, Sr.",William Smith
"Joseph Smith, Sr.",Hyrum Smith
Jeremy Clarke,Walter Clarke
Joe Redington,Joe Redington Jr
Jessie Harlan Lincoln,Robert Todd Lincoln Beckwith
"Joseph Smith, Sr.",Samuel H. Smith
John Church Hamilton,Schuyler Hamilton
Jeffrey G. Williamson,Hilary Hoynes
Willie Tanner,Eric Tanner
Jim Hensley,Cindy McCain
Jeanie Gould,G. Gould Lincoln
Jim Van Fossen,Jamie Van Fossen
"Joseph Smith, Sr.",Alvin Smith
John Chambers White,General Sir Henry Dalrymple White
Jean Stein,Katrina vanden Heuvel
Joe Howard,Jeremy Howard
Willie Tanner,Brian Tanner
"Joseph Smith, Sr.",Katharine Smith Salisbury
Jim Bob Duggar,Jessa Duggar
Jessie Woodrow Wilson Sayre,Eleanor Sayre
Willie Tanner,Lynn Tanner
"Joseph Smith, Sr.",Don Carlos Smith
Jeremiah W. Dwight,John Wilbur Dwight
Joe Allbritton,Don Carlton
Joe Redington,Raymie Redington
John Sant'Ambrogio,Stephanie Sant’Ambrogio
John L. Nelson,Prince
Izzy Young,Philomène Grandin
John Ehle,Jennifer Ehle
John Ancrum Winslow,Herbert Winslow
John Quincy,Elizabeth Quincy
John Albert Morris,David Hennen Morris
John R. Rickford,Russell J. Rickford
John H. Addams,Jane Addams
John Dandridge,Bartholomew Dandridge
John R. McLean,Edward Beale McLean
John Mercer,John Francis Mercer
"John Adams, Sr.",Peter Boylston of Braintree Adams
John Durang,Ferdinand Durang
John Parisella,Bethenny Frankel
John Amory Lowell,John Lowell
John Hunt Udall,Nick Udall
John Henry Livingston,Henry A. Livingston
John Frelinghuysen,Frederick Frelinghuysen
John Elliott Cowdin,John Cheever Cowdin
John Albert Morris,Alfred Hennen Morris
John Humphrey,Anne Humphrey
John Howard Lindauer II,Susan Lindauer
John Greene,James Greene
John Cranston,Samuel Cranston
John Kean,Peter Philip James Kean
Johannes Roosevelt,Jacobus James Roosevelt
John Greene,Thomas Greene
John Kearsley Mitchell,Silas Weir Mitchell
John DeMita,Elliot Fletcher
John Greene,John Greene
"John McCaw, Jr.",Paris McCaw
John Horton Slaughter,Apache May Slaughter
John Greene,Samuel Greene
John Huston Finley,John Huston Finley
John Galen Howard,John Langley Howard
John D. Van Buren,"John Dash Van Buren, Jr."
John Grubb,Nathaniel Grubb
John B. Fairbanks,Avard Fairbanks
John B. Trevor,John Bond Trevor
"John Menard, Jr.",Paul Menard
John L. Nelson,Tyka Nelson
John Amory Lowell,Augustus Lowell
John Force,Brittany Force
John L. Waller,Jennie Waller
John Lowell,"Charles Russell Lowell, Sr."
John Grubb,Peter Grubb
John Lowell,Francis Cabot Lowell
John Lowell,"John Lowell, Jr."
John Quincy Adams II,Charles Francis Adams III
John Foreman,Amanda Foreman
John Custis,Daniel Parke Custis
John Spencer Bassett,Richard H. Bassett
John Dryden Kuser,Anthony Dryden Marshall
John Darragh,Cornelius Darragh
John Gideon Searle,Daniel C. Searle
John Alt,Mark Alt
John Force,Courtney Force
John Roskelley,Jess Roskelley
John Marshall Clemens,Mark Twain
John Sprunt Hill,George Watts Hill
John Augustine Washington,Bushrod Washington
John H. Morrow,John H. Morrow junior
John Force,Ashley Force Hood
John Nicholas Brown II,J. Carter Brown
John Shaffer Phipps,Hubert Beaumont Phipps
John Greene,Philippa Greene
John Smith,George A. Smith
John Shaffer Phipps,Michael Grace Phipps
John Augustine Washington,Corbin Washington
"John Langeloth Loeb, Jr.",Nick Loeb
John Drake,John Drake
John Sanford,Peleg Sanford
John Fenno,Mary Elizabeth Verplanck
Joe Stephenson,Jerry Stephenson
John Marshall Clemens,Orion Clemens
John Shaffer Phipps,John H. H. Phipps
John P. Davis,Michael DeMond Davis
John M. Harbert,Raymond J. Harbert
John Shaffer Phipps,Margaret Phipps Boegner
John Crockett,David Crockett
John Rockefeller Prentice,Abra Prentice Wilkin
John Russell,Jonathan Russell
"John Adams, Sr.",John Adams
John Foster,John Foster
John Leavitt,Moses Leavitt
John R. Adler,Trip Adler
John Russell,Samuel Russell
John Amory Codman,Martha Codman Karolik
John Drake,Tracy Drake
John Lowell,Rebecca Russell Lowell
John Ennis,Jessie Ennis
John McDowell Leavitt,Frank McDowell Leavitt
John Neville,Presley Neville
John Rodgers,William Ledyard Rodgers
John Ridge,John Rollin Ridge
John Leavitt,Samuel Leavitt
"John Baldwin, Sr.",Don Baldwin
John B. Guthrie,George Wilkins Guthrie
"John Baldwin, Sr.",John Baldwin
John I. Yellott,"John I. Yellott, Jr."
John Mason,James Murray Mason
John M. Whitall,Hannah Whitall Smith
"John Adams, Sr.",Elihu Adams
John McDowell Leavitt,John Brooks Leavitt
John Spencer Hardy,Beth Courtney
John Leverett,Elizabeth Leverett
John Mason,Murray Mason
John Baker,Alex Westlake
John McKay,Rich McKay
John M. Walker,"John M. Walker, Jr."
John Ball,Kate N. Ball Powers
John Mercer,George Mercer
John Ross Key,Francis Scott Key
John Henry Russell,"John H. Russell, Jr."
John Angel,John Lawrence Angel
John McKay,"John McKay, Jr."
John Neville,Amelia Neville
John Addison Porter,John Addison Porter
John Insley Blair,DeWitt Clinton Blair
John Dandridge,Martha Washington
John Adams,Mary Elizabeth Adams Brown
Julia Jones Pugliese,Patri J. Pugliese
Josiah B. Williams,Henry Shaler Williams
Joseph Warren Revere,Paul Joseph Revere
John Trice Nixon,Mignon Nixon
Josiah Ogden Hoffman,Charles Fenno Hoffman
Julina Lambson Smith,Joseph Fielding Smith
Johnny Ray,Kevin Ray
Joseph F. Rychlak,Ronald J. Rychlak
John W. McCoy,Anna Brelsford McCoy
Jules Irving,Amy Irving
Julia Dent Cantacuzène Spiransky-Grant,"Prince Michael Cantacuzene, 3rd Count Speransky"
Julia Dent Cantacuzène Spiransky-Grant,Princess Barbara Cantacuzene
Julia Dent Cantacuzène Spiransky-Grant,Princess Zenaida Cantacuzene
Julius Dresser,Horatio Dresser
"John West, 1st Earl De La Warr",George Augustus West
